Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
AMZN,Amazon.com,Consumer Discretionary,Broadline Retail,"Seattle, Washington",2005-11-18,1018724,1994
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Zürich, Switzerland",2019-06-11,1748790,1860
AEE,Ameren,Utilities,Multi-Utilities,"Saint Louis, Missouri",1991-12-19,1002910,1902
AAL,American Airlines Group,Industrials,Passenger Airlines,"Fort Worth, Texas",2015-03-23,4515,1926
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,4904,1906
AXP,American Express,Financials,Consumer Finance,"New York, New York",1976-06-30,4962,1850
AIG,American International Group,Financials,Multi-line Insurance,"New York, New York",1980-03-31,5272,1919
AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",2016-03-04,1410636,1886
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-01,820081,2005
AME,AMETEK,Industrials,Electronic Equipment & Instruments,"Berwyn, Pennsylvania",2013-09-23,14846,1930
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,318154,1980
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30,820313,1932
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",2019-01-24,6845,1965
ANSS,Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",2017-12-18,820081,1969
AON,Aon,Financials,Insurance Brokers,"London, United Kingdom",1996-04-30,315293,1919
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2020-09-28,6769,1954
AAPL,Apple,Information Technology,Technology Hardware Storage & Peripherals,"Cupertino, California",1982-11-30,320193,1976
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",1995-03-16,796343,1967
APTV,Aptiv,Consumer Discretionary,Automobile Components,"Dublin, Ireland",2012-05-22,1521332,1994
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",2022-11-01,947484,2001
ADM,Archer-Daniels-Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",2018-08-28,1313925,2004
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",2016-05-31,354963,1927
AIZ,Assurant,Financials,Multi-line Insurance,"New York, New York",2004-02-17,1267238,1892
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30,732717,1983
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",2019-02-28,1108320,1906
ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",1989-12-05,315180,1982
ADP,Automatic Data Processing,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",1981-03-31,12063,1949
AZO,AutoZone,Consumer Discretionary,Specialty Retail,"Memphis, Tennessee",1997-01-02,866787,1979
AVB,AvalonBay Communities,Real Estate,Residential REITs,"Arlington, Virginia",2005-01-03,915912,1978
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,"Glendale, California",1987-04-30,8818,1935
AXON,Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",2023-05-04,1069183,1993
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2017-07-03,808362,1987
BALL,Ball Corporation,Materials,Metal & Glass Containers,"Westminster, Colorado",1984-10-31,9389,1880
BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",1976-06-30,70858,1904
BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",1972-09-01,10456,1931
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-01,10795,1897
BRK.B,Berkshire Hathaway B,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-12,1067983,1839
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",1999-06-30,764478,1966
BIO,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services,"Hercules, California",1999-06-30,12208,1952
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",2021-09-20,842162,1976
BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",2003-11-13,875320,1978
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York, New York",2011-04-04,1364742,1988
BX,Blackstone,Financials,Asset Management & Custody Banks,"New York, New York",2023-09-18,1393818,1985
BA,Boeing,Industrials,Aerospace & Defense,"Arlington, Virginia",1957-03-04,12927,1916
BKNG,Booking Holdings,Consumer Discretionary,Hotels Resorts & Cruise Lines,"Norwalk, Connecticut",2009-11-06,1075531,1997
BWA,BorgWarner,Consumer Discretionary,Automobile Components,"Auburn Hills, Michigan",2011-12-19,908255,1928
BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",2006-04-03,1037540,1970
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",1995-10-31,885978,1979
BMY,Bristol-Myers Squibb,Health Care,Pharmaceuticals,"New York, New York",1957-03-04,14272,1887
AVGO,Broadcom,Information Technology,Semiconductors,"San Jose, California",2014-05-14,1730168,1961
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",2007-04-02,1383312,1962
BF.B,Brown-Forman B,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1982-10-31,14693,1870
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,"Saint Louis, Missouri",2019-11-07,1144519,1818
CDNS,Cadence Design Systems,Information Technology,Electronic Equipment & Instruments,"San Jose, California",2017-09-18,813672,1988
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",2021-05-04,1590580,1973
CPT,Camden Property Trust,Real Estate,Residential REITs,"Houston, Texas",2022-03-07,906163,1982
COF,Capital One Financial,Financials,Consumer Finance,"McLean, Virginia",1998-07-01,927628,1994
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",1997-09-30,721371,1971
KMX,CarMax,Consumer Discretionary,Specialty Retail,"Richmond, Virginia",2010-06-28,1170010,1993
CCL,Carnival,Consumer Discretionary,Hotels Resorts & Cruise Lines,"Miami, Florida",1998-12-22,723254,1972
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",2020-04-03,1783398,1915
CAT,Caterpillar,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",1957-03-04,18230,1925
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017-03-01,1378992,1973
CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",2006-11-02,1138118,1906
CDW,CDW,Information Technology,Technology Distributors,"Vernon Hills, Illinois",2019-09-23,1402057,1984
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",2018-07-26,1306830,1918
COR,Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",2001-08-30,1140859,1985
CNC,Centene,Health Care,Managed Health Care,"Saint Louis, Missouri",2016-03-28,1071739,1984
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1999-11-01,1130310,1882
CF,CF Industries Holdings,Materials,Fertilizers & Agricultural Chemicals,"Northbrook, Illinois",2020-03-30,1324789,1946
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",2021-09-20,1100682,1947
SCHW,Charles Schwab,Financials,Investment Banking & Brokerage,"Westlake, Texas",1997-06-02,316789,1971
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",2016-09-08,1091334,1993
CVX,Chevron,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",2011-04-28,1058090,1993
CB,Chubb,Financials,Property & Casualty Insurance,"Zurich, Switzerland",1957-03-04,896159,1882
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",2015-12-29,313927,1847
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1981-12-31,20286,1968
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",2001-04-02,723254,1929
CSCO,Cisco Systems,Information Technology,Communications Equipment,"San Jose, California",1993-12-01,858877,1984
C,Citigroup,Financials,Diversified Banks,"New York, New York",1988-03-31,831001,1812
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",2018-12-21,759944,1828
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",1969-03-31,21076,1913
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",2012-07-02,1156375,1898
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",1993-12-31,723254,1886
KO,Coca-Cola,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",1957-03-04,21344,1892
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2004-07-06,1058290,1994
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York, New York",1957-03-04,21665,1806
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2002-11-19,1166691,1963
CAG,ConAgra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1983-09-30,23217,1919
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,1163165,2002
ED,Consolidated Edison,Utilities,Electric Utilities,"New York, New York",1957-03-04,23632,1884
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",2005-07-01,16918,1945
CEG,Constellation Energy,Utilities,Electric Utilities,"Baltimore, Maryland",2022-02-01,1868275,2022
COO,CooperCompanies,Health Care,Health Care Equipment,"San Ramon, California",2016-09-08,723254,1958
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",2020-10-26,723254,1982
GLW,Corning,Information Technology,Electronic Components,"Corning, New York",1995-09-30,24741,1851
CPAY,Corpay,Financials,Data Processing & Outsourced Services,"Atlanta, Georgia",2023-01-17,1175922,2000
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",2019-06-03,1755672,2019
CSGP,CoStar Group,Real Estate,Real Estate Services,"Washington, D.C.",2022-09-19,1057352,1987
COST,Costco Wholesale,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",1993-12-01,723254,1983
CTRA,Coterra Energy,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2021-12-01,858470,1989
CCI,Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",2012-03-13,1051512,1994
CSX,CSX,Industrials,Rail Transportation,"Jacksonville, Florida",1957-03-04,277948,1827
CMI,Cummins,Industrials,Industrial Machinery & Supplies & Components,"Columbus, Indiana",1965-03-31,26172,1919
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",1999-06-30,723254,1963
DHR,Danaher,Health Care,Life Sciences Tools & Services,"Washington, D.C.",1998-10-02,313616,1969
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",1995-08-01,940944,1938
DVA,DaVita,Health Care,Health Care Facilities,"Denver, Colorado",2008-11-14,927066,1979
DAY,Dayforce,Information Technology,Application Software,"Minneapolis, Minnesota",2024-03-18,723254,1992
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1957-03-04,315189,1837
DELL,Dell Technologies,Information Technology,Technology Hardware Storage & Peripherals,"Round Rock, Texas",2019-09-23,826083,1984
DAL,Delta Air Lines,Industrials,Passenger Airlines,"Atlanta, Georgia",2013-09-20,27904,1924
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000-08-30,1090012,1971
DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California",2020-05-13,1093557,1999
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018-12-04,1539838,2007
DIS,Walt Disney,Communication Services,Movies & Entertainment,"Burbank, California",1976-06-30,1001039,1923
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",2012-12-03,34408,1939
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",2011-12-19,935703,1986
D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",1957-03-04,715957,1983
DPZ,Domino's Pizza,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-13,1286681,1960
DOV,Dover,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",1985-04-30,29905,1955
DHI,D.R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",2005-06-27,45012,1978
DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",2000-08-30,28385,1903
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1957-03-04,1326160,1904
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666002,1802
EMN,Eastman Chemical,Materials,Specialty Chemicals,"Kingsport, Tennessee",1994-01-01,915389,1920
ETN,Eaton,Industrials,Electrical Components & Equipment,"Dublin, Ireland",1957-03-04,31462,1911
EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",2002-07-19,1065088,1995
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1989-04-28,31235,1923
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1994-01-01,827054,1886
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",2011-04-04,1099800,1958
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",2002-07-19,712034,1982
ELV,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",2002-11-19,1156039,1944
LLY,Eli Lilly,Health Care,Pharmaceuticals,"Indianapolis, Indiana",1957-03-04,59478,1876
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1957-03-04,32604,1890
ENPH,Enphase Energy,Information Technology,Semiconductors,"Fremont, California",2021-09-20,1463101,2006
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",1957-03-04,49600,1913
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2000-09-01,821189,1989
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",2021-12-01,1352010,1993
EQT,EQT,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",2019-09-16,33213,1888
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",1997-07-01,33185,1899
EQIX,Equinix,Real Estate,Data Center REITs,"Redwood City, California",2015-03-20,1101239,1998
EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",2001-12-03,906107,1966
ESS,Essex Property Trust,Real Estate,Residential REITs,"San Mateo, California",2014-08-25,920522,1971
EL,Estee Lauder,Consumer Staples,Personal Care Products,"New York, New York",2006-01-03,1001316,1946
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,"Brooklyn, New York",2020-09-21,1370637,2005
EG,Everest Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",2017-11-06,1096752,1973
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",2018-06-04,1585583,1909
ES,Eversource Energy,Utilities,Electric Utilities,"Springfield, Massachusetts",2012-11-19,72741,1927
EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",2002-01-15,8192,1887
EXPE,Expedia Group,Consumer Discretionary,Hotels Resorts & Cruise Lines,"Seattle, Washington",2007-10-02,1324424,1996
EXPD,Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington",2007-10-02,35852,1979
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,"Salt Lake City, Utah",2016-01-04,1289490,1977
XOM,Exxon Mobil,Energy,Integrated Oil & Gas,"Irving, Texas",1957-03-04,34088,1870
FFIV,F5,Information Technology,Communications Equipment,"Seattle, Washington",2010-12-06,1048695,1996
FDS,FactSet Research Systems,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",2021-12-20,1013237,1978
FICO,Fair Isaac,Information Technology,Application Software,"Bozeman, Montana",2023-01-17,814547,1956
FAST,Fastenal,Industrials,Trading Companies & Distributors,"Winona, Minnesota",1998-09-01,38379,1967
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",2016-02-01,34903,1962
FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",2004-04-01,230137,1971
FIS,Fidelity National Information Services,Financials,Data Processing & Outsourced Services,"Jacksonville, Florida",2006-11-01,798354,1968
FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1997-07-01,35527,1858
FSLR,First Solar,Information Technology,Semiconductors,"Tempe, Arizona",2018-12-03,1274494,1999
FE,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",2001-04-02,39947,1997
FI,Fiserv,Financials,Data Processing & Outsourced Services,"Brookfield, Wisconsin",2016-02-01,798354,1984
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",1957-03-04,37996,1903
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",2018-10-11,1262039,2000
FTV,Fortive,Industrials,Electronic Equipment & Instruments,"Everett, Washington",2016-07-01,1659166,2016
FOXA,Fox Corporation A,Communication Services,Broadcasting & Cable TV,"New York, New York",2019-03-19,1754301,2019
FOX,Fox Corporation B,Communication Services,Broadcasting & Cable TV,"New York, New York",2013-01-02,1754301,2019
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",1998-07-01,38170,1947
FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",2007-10-01,831259,1912
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Olathe, Kansas",2012-12-03,1121788,1989
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",2017-04-05,749251,1979
GEN,Gen Digital,Information Technology,Systems Software,"Tempe, Arizona",2022-11-07,849399,1982
GNRC,Generac Holdings,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",2021-03-23,1474735,1959
GD,General Dynamics,Industrials,Aerospace & Defense,"Reston, Virginia",1957-03-04,40533,1899
GE,GE Aerospace,Industrials,Aerospace & Defense,"Cincinnati, Ohio",1957-03-04,40534,1892
GEHC,GE HealthCare,Health Care,Health Care Equipment,"Chicago, Illinois",2023-01-04,1932393,2023
GEV,GE Vernova,Utilities,Electric Utilities,"Cambridge, Massachusetts",2024-04-02,1984570,2024
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1957-03-04,40704,1866
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",2013-06-06,1467858,2009
GPC,Genuine Parts,Consumer Discretionary,Specialty Retail,"Atlanta, Georgia",1973-09-30,40987,1925
GE,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",1957-03-04,882095,1987
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",2004-07-01,882095,1987
GPN,Global Payments,Financials,Data Processing & Outsourced Services,"Atlanta, Georgia",2016-04-25,1123360,2000
GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",2012-02-22,723254,1900
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York, New York",2013-04-01,886982,1869
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1957-03-04,45012,1919
HIG,Hartford Financial Services,Financials,Multi-line Insurance,"Hartford, Connecticut",1995-07-31,874766,1810
HAS,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",1984-09-28,46080,1923
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",2015-10-08,860731,1968
DOC,Healthpeak Properties,Real Estate,Health Care REITs,"Denver, Colorado",2008-12-22,765880,1985
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",2015-03-17,1000228,1932
HSY,Hershey,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",1957-03-04,47111,1894
HES,Hess,Energy,Integrated Oil & Gas,"New York, New York",1984-05-31,4447,1919
HPE,Hewlett Packard Enterprise,Information Technology,Technology Hardware Storage & Peripherals,"Houston, Texas",2015-11-02,1645590,2015
HLT,Hilton Worldwide Holdings,Consumer Discretionary,Hotels Resorts & Cruise Lines,"McLean, Virginia",2017-06-19,1585583,1919
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2016-03-04,859737,1985
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1988-03-31,354950,1978
HON,Honeywell International,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",1957-03-04,773840,1906
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",1967-09-29,48075,1891
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",2007-03-20,1070750,1927
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",2020-04-03,1524472,1888
HPQ,HP Inc.,Information Technology,Technology Hardware Storage & Peripherals,"Palo Alto, California",2015-11-02,47217,1939
HUBB,Hubbell Incorporated,Industrials,Electrical Components & Equipment,"Shelton, Connecticut",2017-11-06,48898,1888
HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",1993-12-01,49071,1961
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio",1997-07-01,49196,1866
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",2011-06-01,1501585,2011
IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",1957-03-04,51143,1911
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-12-23,832101,1988
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",2019-01-14,874716,1983
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois",1986-03-31,49826,1912
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",2017-02-02,879169,2002
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",2020-03-30,1466258,1871
PODD,Insulet,Health Care,Health Care Equipment,"Acton, Massachusetts",2021-09-20,1145986,2000
INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California",1976-12-31,50863,1968
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2013-05-01,1571949,2000
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York, New York",2000-06-27,49519,1833
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,49826,1898
IPG,Interpublic Group,Communication Services,Advertising,"New York, New York",2003-04-01,397187,1930
INTU,Intuit,Information Technology,Application Software,"Mountain View, California",2000-12-05,896878,1983
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",2008-06-02,1035267,1995
IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",2008-08-27,914208,1978
INVH,Invitation Homes,Real Estate,Residential REITs,"Dallas, Texas",2022-09-19,1687229,2012
IQV,IQVIA Holdings,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",2015-08-03,1478287,2003
IRM,Iron Mountain,Real Estate,Specialized REITs,"Boston, Massachusetts",2009-09-14,1020569,1951
JBAL,J.B. Hunt Transport Services,Industrials,Cargo Ground Transportation,"Lowell, Arkansas",2015-09-18,728535,1961
JKHY,Jack Henry & Associates,Financials,Data Processing & Outsourced Services,"Monett, Missouri",2019-10-01,896429,1976
J,Jacobs Solutions,Industrials,Research & Consulting Services,"Dallas, Texas",2004-07-01,52988,1947
JBL,Jabil,Information Technology,Electronic Manufacturing Services,"Saint Petersburg, Florida",2003-07-01,898293,1966
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",2016-10-07,1043604,1996
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York, New York",1975-06-30,19617,1799
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",2016-10-07,1043604,1996
K,Kellanova,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2023-10-02,55529,1906
KVUE,Kenvue,Consumer Staples,Personal Care Products,"Skillman, New Jersey",2023-09-18,1940850,2023
KIM,Kimco Realty,Real Estate,Retail REITs,"Jericho, New York",2006-04-03,879585,1966
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2012-05-25,1110805,1997
KLAC,KLA,Information Technology,Semiconductor Materials & Equipment,"Milpitas, California",2019-09-30,319201,1975
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2015-07-06,1637459,2015
KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",1957-03-04,56873,1883
LHX,L3Harris Technologies,Industrials,Aerospace & Defense,"Melbourne, Florida",2019-07-01,202058,1978
